Año;Mes;Mes Corto;Mes Numero;Codigo IPRESS;Clinica Descripcion;Region;Provincia;Distrito;Competencia;Cant Atenciones Medicas;Cirugia Mayor Efectiva;Cirugia Menor Efectiva
2026;JUNIO;JUN;6;17099;Oftalmologos Contreras C.SCRL;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;229;27;4
2026;JUNIO;JUN;6;30606;Visana Clinica Especializada Oftalmologica;LIMA;LIMA;COMAS;LIMA NORTE;1029;;
2026;JUNIO;JUN;6;9505;Oftalmosalud - San Isidro;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;7145;424;182
2026;JUNIO;JUN;6;18626;Oftalmica;LIMA;LIMA;SAN BORJA;LIMA CENTRO;2722;178;36
2026;JUNIO;JUN;6;11372;Futuro Vision ;LIMA;LIMA;SAN BORJA;LIMA CENTRO;1330;0;61
2026;JUNIO;JUN;6;15716;Clinica Vista;LIMA;LIMA;JESUS MARIA;LIMA CENTRO;648;;
2026;JUNIO;JUN;6;20230;Clinica de ojos Global Laser;LIMA;LIMA;PUEBLO LIBRE;LIMA CENTRO;1227;0;133
2026;JUNIO;JUN;6;;Clinica OftalmoMédic - Lima Norte;LIMA;LIMA;LOS OLIVOS;LIMA NORTE;520;0;20
2026;JULIO;JUL;7;12429;Clinica Oftalmologica Wong;LIMA;LIMA;LOS OLIVOS;LIMA NORTE;657;;
2026;JULIO;JUL;7;28155;Consultorio Medico Oftalmologico Vista;LIMA;LIMA;COMAS;LIMA NORTE;;;
2026;JULIO;JUL;7;34209;Clinica Oftalmologica Ñahui Salud - Comas;LIMA;LIMA;COMAS;LIMA NORTE;1807;0;57
2026;JULIO;JUL;7;25804;Opero;LIMA;LIMA;CERCADO;LIMA CENTRO;45;2;23
2026;JULIO;JUL;7;22016;Clinica la Luz Oftalmologica;LIMA;LIMA;CERCADO;LIMA CENTRO;1967;17;13
2026;JULIO;JUL;7;20976;Visual Center Clinica de Ojos;LIMA;LIMA;SAN MIGUEL;LIMA CENTRO;1580;32;115
2026;JULIO;JUL;7;11741;Clinica Nortvision;LIMA;LIMA;PUEBLO LIBRE;LIMA CENTRO;417;71;22
2026;JULIO;JUL;7;10669;Clinica Peruana para la Vision;LIMA;LIMA;JESUS MARIA;LIMA CENTRO;;;
2026;JULIO;JUL;7;17703;OPRECE;LIMA;LIMA;MAGDALENA;LIMA CENTRO;;;
2026;JULIO;JUL;7;29299;Mas Vision;LIMA;LIMA;LINCE;LIMA CENTRO;218;5;182
2026;JULIO;JUL;7;11358;Confia Instituto Oftalmologico;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;381;26;35
2026;JULIO;JUL;7;9933;Clinica Oftalmologica Macula D&T ;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;1785;0;89
2026;JULIO;JUL;7;15182;Clinica Optima Vision;LIMA;LIMA;MIRAFLORES;LIMA CENTRO;508;;
2026;JULIO;JUL;7;13900;OftalmoSalud - Surco;LIMA;LIMA;SURCO;LIMA CENTRO;522;;
2026;JULIO;JUL;7;23741;Clinica Oftalmo Vissum;LIMA;LIMA;SURCO;LIMA CENTRO;402;0;51
2026;JULIO;JUL;7;15461;Vista Salud Centro Oftalmologico;LIMA;LIMA;SURCO;LIMA CENTRO;644;0;29
2026;JULIO;JUL;7;17676;OftalmoSalud - SJM;LIMA;LIMA;SAN JUAN DE MIRAFLORES;LIMA CENTRO;2773;0;60
